1	admin@gmail.com	0111	관리자	01012345678	2022-12-14 23:16:02.130876	1	1	/purplaying/file/profile/display?file_name=/2022%5C12%5C29%2F239feb71-41f3-440d-b97a-82f6c62cf935_profile_admin.png	12943000	관리자
2	tenten@gmail.com	0111	텐텐	01056781234	2022-12-14 23:21:45.852225	1	1	/purplaying/file/profile/display?file_name=/2022%5C12%5C29%2Fcf32bc05-667d-4e6c-a4cb-19ba6c4ee920_profile-1.png	52248000	텐텐마싯쪙
21	1787forwork@gmail.com	123456	김영은	01011111111	2022-12-30 15:23:39.577237	0	0	/purplaying/file/profile/display?file_name=/2022%5C12%5C30%2Fd1fcb43f-f6ff-4885-992a-27a80a0cc47d_%ED%94%84%EB%A1%9C%ED%95%843.png	800	가입
3	kimye@gmail.com	0111	김영은	01012345678	2022-12-17 00:50:21.70066	1	0	/purplaying/file/profile/display?file_name=/2022%5C12%5C29%2Fe30d0ede-3772-4f38-a40d-703393267245_profile3.png	21410000	영은
10	zzanggu@naver.com	0111	신짱구	0102345687	2022-12-29 12:23:28.938526	1	0	/purplaying/file/profile/display?file_name=/2022%5C12%5C29%2Ff104f234-fd56-4177-a3eb-a0f72bef6ea8_j84_426t_400x400.jpg	214069000	짱구
9	munhak@gmail.com	0111	문학경	01033344455	2022-12-29 11:56:46.842634	1	0	/purplaying/file/profile/display?file_name=/2022%5C12%5C29%2Fef682fab-5a50-44b8-a9c8-5fe28a0885c3_profile4.png	21410000	문학좋아
19	signup@gmail.com	0111	회원이름	01012345678	2022-12-29 21:57:25.291185	1	0	/purplaying/file/profile/display?file_name=/2022%5C12%5C02%2Fac892600-b007-46ce-bdac-5ec0ff7b1e3d_%EA%B8%B0%EB%B3%B8%EC%9D%B4%EB%AF%B8%EC%A7%80.jfif	282000	회원닉네임
\.


