301	2022-12-29 15:09:31.597573	3	1	{3}	{55}	550000	김영은	01012345678	03156	서울 종로구 삼봉로 40		
305	2022-12-29 15:12:45.912028	3	215	{2}	{15}	465000	김영은	01012345678	03502	서울 은평구 수색로 240		
309	2022-12-29 15:15:16.77946	3	219	{2}	{10}	250000	김영은	01012345678	04009	서울 마포구 포은로5길 4-5		
313	2022-12-29 16:02:01.624525	2	223	{3}	{5}	75000	텐텐	01056781234	03111	서울 종로구 보문로 3		
317	2022-12-29 22:04:26.70515	19	220	{1,2}	{1,1}	18000	펀딩수령인	01012345678	13536	경기 성남시 분당구 판교역로 6-6		
302	2022-12-29 15:10:38.517963	3	220	{2}	{33}	495000	김영은	01012345678	04583	서울 중구 난계로 127		
306	2022-12-29 15:13:36.688644	3	222	{2}	{44}	440000	김영은	01012345678	04503	서울 중구 손기정로1길 38-5		
310	2022-12-27 15:58:32.184	2	218	{2,3}	{10,10}	250000	텐텐	01056781234	06678	서울 서초구 도구로 45-6		
318	2022-12-30 15:41:20.858529	21	218	{2,1}	{1,2}	4200	이젠	01012345678	06571	서울 서초구 서초대로 77	3층	
303	2022-12-29 15:11:55.585951	3	3	{2}	{27}	405000	김영은	01012345678	03128	서울 종로구 김상옥로 1		
311	2022-12-29 15:59:35.063173	2	2	{2}	{15}	225000	텐텐	01056781234	04021	서울 마포구 포은로2길 5		
315	2022-12-29 18:57:21.778946	2	220	{1,2,3}	{6,3,1}	91000	김영은	01077771111	33471	충남 보령시 주공로 4	상세 주소	
307	2022-12-26 15:14:16.757	3	218	{2}	{51}	765000	김영은	01012345678	59338	전남 장흥군 안양면 로하스3길 6		
304	2022-12-29 15:12:24.448207	3	4	{2}	{100}	1000000	김영은	01012345678	04026	서울 마포구 포은로 20-1		
308	2022-12-29 15:14:51.969716	3	221	{2}	{24}	360000	김영은	01012345678	22765	인천 서구 푸른로 9		
312	2022-12-29 16:00:18.751067	2	217	{1,4}	{10,5}	160000	텐텐	01056781234	06134	서울 강남구 테헤란로1길 10		
316	2022-12-29 19:35:18.992945	10	218	{1}	{31}	31000	신짱구	0102345687	02056	서울 중랑구 신내역로 43		연락주세요
\.


